movie_id,title,genres,release_year,imdb_id,tmdb_id,wikidata_id,wikidata_label,wikidata_description,release_date,countries,languages,directors,screenwriters,cast_members,series,wikidata_genres
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,tt0114709,862,Q171048,Toy Story,1995 American animated film,1995-01-01T00:00:00Z,United States,English|Spanish,John Lasseter,,,Toy Story|list of Pixar films,fantasy film|comedy film|buddy film|adventure film
2,Jumanji (1995),Adventure|Children|Fantasy,1995,tt0113497,8844,Q222939,Jumanji,1995 film by Joe Johnston,1995-12-15T00:00:00Z,United States,English,Joe Johnston,,,,fantasy film|action film|comedy film|adventure film|film based on book
3,Grumpier Old Men (1995),Comedy|Romance,1995,tt0113228,15602,Q782465,Grumpier Old Men,1995 film by Howard Deutch,1995-12-22T00:00:00Z,United States,English,Howard Deutch,,,,buddy film|romantic comedy
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,tt0114885,31357,Q736254,Waiting to Exhale,1995 film,1995-01-01T00:00:00Z,United States,English,Forest Whitaker,,,,drama film|romantic comedy|comedy drama|female buddy film
5,Father of the Bride Part II (1995),Comedy,1995,tt0113041,11862,Q1304560,Father of the Bride Part II,1995 film by Charles Shyer,1995-12-08T00:00:00Z,United States,English,Charles Shyer,,,,comedy film
6,Heat (1995),Action|Crime|Thriller,1995,tt0113277,949,Q42198,Heat,1995 film directed by Michael Mann,1995-01-01T00:00:00Z,United States,English,Michael Mann,,,,drama film|action film|adventure film|heist film|crime film|epic film|mystery film|neo-noir|crime drama film|thriller film|gangster film|suspense film|crime thriller film|psychological drama film|psychological thriller film
7,Sabrina (1995),Comedy|Romance,1995,tt0114319,11860,Q900708,Sabrina,1995 film by Sydney Pollack,1995-12-15T00:00:00Z,United States,English,Sydney Pollack,,,,drama film|romantic comedy film|coming-of-age film
8,Tom and Huck (1995),Adventure|Children,1995,tt0112302,45325,Q1616185,Tom and Huck,1995 film directed by Peter Hewitt,1995-12-22T00:00:00Z,United States,English,Peter Hewitt,,,,adventure film|comedy drama|teen film|coming-of-age film
9,Sudden Death (1995),Action,1995,tt0114576,9091,Q241309,Sudden Death,1995 film directed by Peter Hyams,1995-12-22T00:00:00Z,United States,English,Peter Hyams,,,,action film
10,GoldenEye (1995),Action|Adventure|Thriller,1995,tt0113189,710,Q19089,GoldenEye,1995 film by Martin Campbell,1995-01-01T00:00:00Z,United States|United Kingdom,English,Martin Campbell,,,James Bond|Eon James Bond series,action film|spy film|action thriller
11,"American President, The (1995)",Comedy|Drama|Romance,1995,tt0112346,9087,Q429311,The American President,1995 film directed by Rob Reiner,1995-01-01T00:00:00Z,United States,English,Rob Reiner,,,,drama film|romantic comedy|comedy drama
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,tt0112896,12110,Q1254469,Dracula: Dead and Loving It,1995 film by Mel Brooks,1995-01-01T00:00:00Z,United States|France|Italy,German|English,Mel Brooks,,,,parody film|comedy horror|vampire film|film based on a novel
13,Balto (1995),Adventure|Animation|Children,1995,tt0112453,21032,Q764116,Balto,1995 film directed by Simon Wells,1995-12-22T00:00:00Z,United States,English,Simon Wells,,,Balto,adventure film|family film
14,Nixon (1995),Drama,1995,tt0113987,10858,Q839042,Nixon,1995 film directed by Oliver Stone,1995-01-01T00:00:00Z,United States,English,Oliver Stone,,,,drama film|biographical film
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,tt0112760,1408,Q1051496,Cutthroat Island,1995 film directed by Renny Harlin,1995-01-01T00:00:00Z,United States|France|Italy|Germany,English,Renny Harlin,,,,action film|adventure film|swashbuckler film|romantic comedy|pirate film|children's film|treasure hunt film
16,Casino (1995),Crime|Drama,1995,tt0112641,524,Q220910,Casino,1995 film directed by Martin Scorsese,1995-11-14T00:00:00Z,United States|France,English,Martin Scorsese,,,,drama film|heist film|biographical film|epic film|crime film|mystery film|crime drama film|thriller film|film based on book|gangster film|crime thriller film
17,Sense and Sensibility (1995),Drama|Romance,1995,tt0114388,4584,Q643263,Sense and Sensibility,1995 film by Ang Lee,1995-01-01T00:00:00Z,United States|United Kingdom,English,Ang Lee,,,,drama film|comedy film|romance film|film based on a novel
18,Four Rooms (1995),Comedy,1995,tt0113101,5,Q1137372,Four Rooms,"1995 film by Quentin Tarantino, Robert Rodriguez, Alexandre Rockwell, Allison Anders",1995-01-01T00:00:00Z,United States,English,Allison Anders|Alexandre Rockwell|Robert Rodriguez|Quentin Tarantino,,,,drama film|comedy film
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,tt0112281,9273,Q340127,Ace Ventura: When Nature Calls,1995 film directed by Steve Oedekerk,1995-11-10T00:00:00Z,United States,English,Steve Oedekerk,,,,comedy film
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,tt0113845,11517,Q1163081,Money Train,1995 film by Joseph Ruben,1995-11-22T00:00:00Z,United States,English,Joseph Ruben,,,,comedy film|heist film|action film|buddy cop film|comedy thriller
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,tt0113161,8012,Q261923,Get Shorty,1995 film by Barry Sonnenfeld,1995-01-01T00:00:00Z,United States,English,Barry Sonnenfeld,,,,comedy film|film based on a novel
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,tt0112722,1710,Q498990,Copycat,1995 film directed by Jon Amiel,1995-10-27T00:00:00Z,United States,English,Jon Amiel,,,,horror film|crime film|mystery film
23,Assassins (1995),Action|Crime|Thriller,1995,tt0112401,9691,Q739498,Assassins,1995 film directed by Richard Donner,1995-01-01T00:00:00Z,United States|France,Spanish|English,Richard Donner,,,,action film|crime film|thriller film
24,Powder (1995),Drama|Sci-Fi,1995,tt0114168,12665,Q1543837,Powder,1995 film directed by Victor Salva,1995-01-01T00:00:00Z,United States,English,Victor Salva,,,,drama film|fantasy film|science fiction film
25,Leaving Las Vegas (1995),Drama|Romance,1995,tt0113627,451,Q280918,Leaving Las Vegas,1995 film directed by Mike Figgis,1995-11-07T00:00:00Z,United States|France,English,Mike Figgis,,,,drama film|film based on a novel|erotic film|romance film
26,Othello (1995),Drama,1995,tt0114057,16420,Q2036869,Othello,1995 film by Oliver Parker,1995-01-01T00:00:00Z,United States|United Kingdom,English,Oliver Parker,,,,drama film|romance film
27,Now and Then (1995),Children|Drama,1995,tt0114011,9263,Q614966,Now and Then,1995 film by Lesli Linka Glatter,1995-10-20T00:00:00Z,United States,English,Lesli Linka Glatter,,,,drama film|comedy film|teen film|female buddy film|coming-of-age film
28,Persuasion (1995),Drama|Romance,1995,tt0114117,17015,Q919025,Persuasion,1995 television film directed by Roger Michell,1995-01-01T00:00:00Z,United States|United Kingdom|France,English,Roger Michell,,,,drama film|film based on a novel
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,tt0112682,902,Q749988,The City of Lost Children,"1995 film by Jean-Pierre Jeunet, Marc Caro",1995-01-01T00:00:00Z,Spain|France|Germany,French,Jean-Pierre Jeunet|Marc Caro,,,,fantasy film|science fiction film|dystopian film|steampunk film|arthouse science fiction film
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,1995,tt0115012,37557,Q2276999,Shanghai Triad,1995 film by Zhang Yimou,1995-01-01T00:00:00Z,France|People's Republic of China,Mandarin,Zhang Yimou,,,,drama film|crime film
31,Dangerous Minds (1995),Drama,1995,tt0112792,9909,Q579359,Dangerous Minds,1995 film directed by John N. Smith,1995-01-01T00:00:00Z,United States,Spanish|English,John N. Smith,,,,drama film|biographical film|teen film|hood film
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1995,tt0114746,63,Q175038,12 Monkeys,1995 film directed by Terry Gilliam,1995-01-01T00:00:00Z,United States,English,Terry Gilliam,,,,post-apocalyptic film|neo-noir|dystopian film
34,Babe (1995),Children|Drama,1995,tt0112431,9598,Q720724,Babe,1995 film directed by Chris Noonan,1995-01-01T00:00:00Z,United States|Australia,English,Chris Noonan,,,,drama film|comedy film|film based on literature
35,Carrington (1995),Drama|Romance,1995,tt0112637,47018,Q2658045,Carrington,1995 film by Christopher Hampton,1995-01-01T00:00:00Z,France|United Kingdom,English,Christopher Hampton,,,,drama film|biographical film|LGBTQ+-related film
36,Dead Man Walking (1995),Crime|Drama,1995,tt0112818,687,Q587891,Dead Man Walking,1995 film by Tim Robbins,1995-01-01T00:00:00Z,United States,English,Tim Robbins,,,,drama film|prison film|legal drama|crime film|film based on literature
37,Across the Sea of Time (1995),Documentary|IMAX,1995,tt0112286,139405,Q4676502,Across the Sea of Time,1995 film by Stephen Low,1995-01-01T00:00:00Z,United States,English,Stephen Low,,,,drama film
38,It Takes Two (1995),Children|Comedy,1995,tt0113442,33689,Q1308622,It Takes Two,1995 film directed by Andy Tennant,1995-01-01T00:00:00Z,United States,English,Andy Tennant,,,,romantic comedy
39,Clueless (1995),Comedy|Romance,1995,tt0112697,9603,Q931165,Clueless,1995 film by Amy Heckerling,1995-07-07T00:00:00Z,United States,English,Amy Heckerling,,,,teen film|coming-of-age film|romantic comedy film|comedy film|LGBTQ+-related film
40,"Cry, the Beloved Country (1995)",Drama,1995,tt0112749,34615,Q3392374,"Cry, the Beloved Country",1995 film by Darrell Roodt,1995-01-01T00:00:00Z,United States|South Africa,English,Darrell Roodt,,,,drama film|crime film
41,Richard III (1995),Drama|War,1995,tt0114279,31174,Q2501468,Richard III,1995 film by Richard Loncraine,1995-01-01T00:00:00Z,United Kingdom,English,Richard Loncraine,,,,drama film|dystopian film|film based on literature
42,Dead Presidents (1995),Action|Crime|Drama,1995,tt0112819,11443,Q1180839,Dead Presidents,1995 film directed by Albert Hughes and Allen Hughes,1995-01-01T00:00:00Z,United States,English,Allen Hughes|Albert Hughes,,,,drama film|heist film|crime film|hood film|neo-noir
43,Restoration (1995),Drama,1995,tt0114272,35196,Q2093029,Restoration,1995 film directed by Michael Hoffman,1995-01-01T00:00:00Z,United States|United Kingdom,English,Michael Hoffman,,,,drama film|biographical film|film based on a novel
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995,tt0113855,9312,Q819196,Mortal Kombat,1995 film directed by Paul W. S. Anderson,1995-08-18T00:00:00Z,United States,English,Paul W. S. Anderson,,,,fantasy film|action film|adventure film|martial arts film|ninja film
45,To Die For (1995),Comedy|Drama|Thriller,1995,tt0114681,577,Q590701,To Die For,1995 film by Gus Van Sant,1995-05-20T00:00:00Z,United States|United Kingdom,English,Gus Van Sant,,,,drama film|comedy drama|crime film|black comedy film|film based on a novel
46,How to Make an American Quilt (1995),Drama|Romance,1995,tt0113347,11861,Q493799,How to Make an American Quilt,1995 film by Jocelyn Moorhouse,1995-10-06T00:00:00Z,United States,English,Jocelyn Moorhouse,,,,drama film|romance film|female buddy film|coming-of-age film|romantic comedy film
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1995,tt0114369,807,Q190908,Seven,1995 film by David Fincher,1995-09-15T00:00:00Z,United States,English,David Fincher,,,,drama film|action film|horror film|independent film|adventure film|crime film|mystery film|thriller film|buddy cop film|chase film|crime thriller film|psychological drama film|psychological horror film|detective film|suspense film|psychological thriller film|police procedural film|crime drama film
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995,tt0114148,10530,Q218894,Pocahontas,1995 animated film directed by Mike Gabriel and Eric Goldberg,1995-06-23T00:00:00Z,United States,English,Mike Gabriel|Eric Goldberg,,,Walt Disney Animation Studios feature film,fantasy film|adventure film|biographical film|musical film|comedy drama|romance film|family film|historical drama
49,When Night Is Falling (1995),Drama|Romance,1995,tt0114916,8391,Q540361,When Night Is Falling,1995 film by Patricia Rozema,1995-02-01T00:00:00Z,Canada,English,Patricia Rozema,,,,drama film|comedy film|romance film|LGBTQ+-related film
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1995,tt0114814,629,Q132351,The Usual Suspects,1995 film directed by Bryan Singer,1995-01-01T00:00:00Z,United States,English,Bryan Singer,,,,drama film|action film|mystery film|neo-noir|thriller film|heist film|crime thriller film|flashback film|detective film|gangster film|suspense film|crime drama film
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995,tt0113819,11448,Q1354109,Mighty Aphrodite,1995 film by Woody Allen,1995-01-01T00:00:00Z,United States,English,Woody Allen,,,,comedy film|erotic film
54,"Big Green, The (1995)",Children|Comedy,1995,tt0112499,26441,Q753676,The Big Green,1995 film directed by Holly Goldberg Sloan,1995-09-29T00:00:00Z,United States,English,Holly Goldberg Sloan,,,,comedy film|association football film|Christmas film
55,Georgia (1995),Drama,1995,tt0113158,97406,Q1509291,Georgia,1995 film by Ulu Grosbard,1995-01-01T00:00:00Z,United States|France,English,Ulu Grosbard,,,,drama film|musical film
57,Home for the Holidays (1995),Drama,1995,tt0113321,9089,Q1395242,Home for the Holidays,1995 film directed by Jodie Foster,1996-01-01T00:00:00Z,United States,English,Jodie Foster,,,,comedy film|comedy drama|LGBTQ+-related film
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1994,tt0110877,11010,Q258647,Il Postino: The Postman,1994 film by Michael Radford,1994-01-01T00:00:00Z,Italy|Belgium|France,Spanish|Italian,Michael Radford,,,,drama film|romance film|film based on a novel
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1995,tt0112714,99040,Q3221711,The Confessional,1995 film directed by Robert Lepage,1995-01-01T00:00:00Z,Canada|United Kingdom|France,English|French,Robert Lepage,,,,drama film|LGBTQ+-related film
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,1995,tt0113419,11359,Q1194561,The Indian in the Cupboard,1995 film by Frank Oz,1995-07-14T00:00:00Z,United States,English,Frank Oz,,,,fantasy film|adventure film|children's film|film based on a novel
61,Eye for an Eye (1996),Drama|Thriller,1996,tt0116260,17182,Q760229,Eye for an Eye,1996 film by John Schlesinger,1996-01-01T00:00:00Z,United States,English,John Schlesinger,,,,drama film|crime film|film based on a novel|rape and revenge film
62,Mr. Holland's Opus (1995),Drama,1995,tt0113862,2054,Q564893,Mr. Holland's Opus,1995 film by Stephen Herek,1995-01-01T00:00:00Z,United States,English,Stephen Herek,,,,drama film|musical film
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,1996,tt0116126,10607,Q1619928,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996 film directed by Paris Barclay,1996-01-01T00:00:00Z,United States,English,Paris Barclay,,,,comedy film|hood film
64,Two if by Sea (1996),Comedy|Romance,1996,tt0118002,19760,Q1519553,Two If by Sea,1996 film by Bill Bennett,1996-01-01T00:00:00Z,United States,English,Bill Bennett,,,,romantic comedy
65,Bio-Dome (1996),Comedy,1996,tt0115683,9536,Q2067539,Bio-Dome,1996 film by Jason Bloom,1996-01-01T00:00:00Z,United States,English,Jason Bloom,,,,comedy film|buddy film
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,1996,tt0116839,11525,Q290811,Lawnmower Man 2: Beyond Cyberspace,1996 film by Farhad Mann,1996-01-01T00:00:00Z,United States,English,Farhad Mann,,,,horror film|action film|cyberpunk|science fiction film|speculative fiction film
67,Two Bits (1995),Drama,1995,tt0114753,40628,Q2546088,Two Bits,1995 film by James Foley,1995-11-22T00:00:00Z,United States,English,James Foley,,,,drama film
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1995,tt0113149,4482,Q1306348,French Twist,1995 film by Josiane Balasko,1995-01-01T00:00:00Z,France,French,Josiane Balasko,,,,comedy film|LGBTQ+-related film
69,Friday (1995),Comedy,1995,tt0113118,10634,Q673486,Friday,1995 film directed by F. Gary Gray,1995-01-01T00:00:00Z,United States,English,F. Gary Gray,,,,drama film|comedy film|comedy drama|buddy film|hood film
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,1996,tt0116367,755,Q196004,From Dusk till Dawn,1996 film directed by Robert Rodriguez,1996-01-01T00:00:00Z,United States,English|Spanish,Robert Rodriguez,,,,comedy film|horror film|action film|Western film|adventure film|splatter film|crime film|exploitation film|monster film|comedy horror film|vampire film|thriller film|crime thriller film|horror western|action comedy film
71,Fair Game (1995),Action,1995,tt0113010,11859,Q120484,Fair Game,1995 action film by Andrew Sipes,1995-11-03T00:00:00Z,United States,English,Andrew Sipes,,,,action film|erotic thriller
72,Kicking and Screaming (1995),Comedy|Drama,1995,tt0113537,28387,Q3196361,Kicking and Screaming,1995 film by Noah Baumbach,1995-01-01T00:00:00Z,United States,English,Noah Baumbach,,,,comedy drama|romantic comedy
73,"Misérables, Les (1995)",Drama|War,1995,tt0113828,48750,Q1780602,Les Misérables,1995 film set by Claude Lelouch,1995-01-01T00:00:00Z,France,French,Claude Lelouch,,,,drama film|film based on a novel
